elkYear,date,X,Y,elevation
3057_1,2019-03-15,630629.405115392,4824311.08371364,2325.42993164063
3057_1,2019-03-16,632051.933248925,4832006.06670259,2458.23999023438
3057_1,2019-03-17,632108.92622562,4832627.05158088,2449.49633789063
3057_1,2019-03-18,631875.055539157,4832193.23908251,2454.89575195313
3057_1,2019-03-19,631923.923423595,4831822.33014775,2487.37329101563
3057_1,2019-03-20,632468.531580823,4831957.0743779,2439.4736328125
3057_1,2019-03-21,632502.575955582,4831986.30217123,2439.9912109375
3057_1,2019-03-22,632383.670550058,4832746.91752897,2389.36596679688
3057_1,2019-03-23,631641.712030785,4831731.00362458,2435.72216796875
3057_1,2019-03-24,632171.329750246,4831922.53702832,2442.0078125
3057_1,2019-03-25,631413.937746015,4832394.0528283,2374.88793945313
3057_1,2019-03-26,631241.278532883,4832371.5564639,2347.064453125
3057_1,2019-03-27,631737.476238249,4832848.61126658,2355.60498046875
3057_1,2019-03-28,631879.918703586,4832651.09136393,2409.25415039063
3057_1,2019-03-29,632096.301420877,4831863.83716157,2459.19287109375
3057_1,2019-03-30,631660.085603077,4831502.48714894,2464.31640625
3057_1,2019-03-31,631885.942525929,4831640.36852448,2507.1220703125
3057_1,2019-04-01,632624.687114015,4830367.56833784,2453.52880859375
3057_1,2019-04-02,631662.703831398,4831016.11838015,2407.80737304688
3057_1,2019-04-03,631691.127644321,4830978.56786884,2423.94458007813
3057_1,2019-04-04,631560.301668924,4831643.51938005,2432.03295898438
3057_1,2019-04-05,632037.214862194,4831700.5684606,2493.41577148438
3057_1,2019-04-06,632123.596062159,4831883.48580079,2448.24536132813
3057_1,2019-04-07,631901.964603159,4832584.75091389,2426.38208007813
3057_1,2019-04-08,631888.170685962,4832584.47920058,2429.54125976563
3057_1,2019-04-09,632141.797572874,4831664.5216461,2486.72119140625
3057_1,2019-04-10,632022.961890782,4831719.39771247,2483.26220703125
3057_1,2019-04-11,631892.674885882,4832355.80073519,2448.24072265625
3057_1,2019-04-12,631900.007160393,4831631.09038382,2517.125
3057_1,2019-04-13,631775.921723651,4831600.09376144,2480.9853515625
3057_1,2019-04-14,632074.45545275,4831567.86449173,2519.7294921875
3057_1,2019-04-15,631881.233394294,4832584.34256019,2429.54125976563
3057_1,2019-04-16,632051.385044877,4831681.84871,2500.57666015625
3057_1,2019-04-17,631932.550467678,4831736.72635893,2501.87255859375
3057_1,2019-04-18,631451.245695843,4832261.23612445,2401.04541015625
3057_1,2019-04-19,632322.323877672,4831992.29343482,2436.77612304688
3057_1,2019-04-20,632787.54389929,4832287.60078432,2429.921875
3057_1,2019-04-21,632149.256430287,4832341.74910271,2429.02783203125
3057_1,2019-04-22,631646.208787879,4831502.21439667,2459.65771484375
3057_1,2019-04-23,631584.11211463,4831491.43914419,2454.74926757813
3057_1,2019-04-24,632400.32759391,4832251.37938518,2430.99072265625
3057_1,2019-04-25,632541.145560224,4831786.85182868,2433.5751953125
3057_1,2019-04-26,631111.232711703,4832645.55038633,2323.07470703125
3057_1,2019-04-27,630674.304134318,4833027.98819862,2277.36865234375
3057_1,2019-04-28,631825.815727658,4832583.25128408,2437.47387695313
3057_1,2019-04-29,632176.548893512,4832361.39801734,2427.12573242188
3057_1,2019-04-30,633200.798728424,4830665.0954394,2461.21459960938
3057_1,2019-05-01,631750.55369236,4829368.15196421,2300.66796875
3057_1,2019-05-02,631241.06659797,4832028.23640295,2359.94287109375
3057_1,2019-05-03,630873.385977906,4832412.02035754,2313.19506835938
3057_1,2019-05-04,632967.096282047,4831966.95444241,2414.72509765625
3057_1,2019-05-05,632725.041793295,4831246.96127636,2420.9892578125
3057_1,2019-05-06,627389.326298616,4835329.62058265,2429.2216796875
3057_1,2019-05-07,628277.159199199,4835241.7031647,2449.96142578125
3057_1,2019-05-08,629123.500205879,4834437.92173713,2395.98950195313
3057_1,2019-05-09,629055.964913556,4835065.91471888,2498.638671875
3057_1,2019-05-10,626618.493212653,4831424.28499041,2413.80200195313
3057_1,2019-05-11,626132.827300977,4833303.30198944,2499.78930664063
3057_1,2019-05-12,626558.200321615,4833883.50879228,2488.80224609375
3057_1,2019-05-13,623993.728135491,4835132.39208923,2570.46313476563
3057_1,2019-05-14,624153.102126927,4833628.59336234,2631.873046875
3057_1,2019-05-16,622124.003834333,4835155.21811234,2559.05297851563
3057_1,2019-05-18,621485.285452291,4840588.49635933,2630.33447265625
3057_1,2019-05-19,622241.505493389,4841222.12795944,2721.50439453125
3057_1,2019-05-20,622534.372529542,4841093.95178336,2582.86962890625
3057_1,2019-05-21,623826.087535289,4838199.7968661,2585.64624023438
3057_1,2019-05-22,625542.996206342,4834474.67294991,2505.8291015625
3057_1,2019-05-23,625694.503893406,4831568.97957183,2437.39672851563
3057_1,2019-05-24,626074.579417329,4831614.34202127,2448.24853515625
3057_1,2019-05-25,625944.682801974,4832260.28884108,2538.93286132813
3057_1,2019-05-26,626517.747185614,4833825.52613579,2491.00927734375
3057_1,2019-05-27,626306.116651777,4834031.29065034,2495.97094726563
3057_1,2019-05-28,627153.181845151,4833179.50469797,2392.58984375
