elkYear,date,X,Y,elevation
2055_1,2001-02-06,556548.000000023,4970383,2293.39404296875
2059_1,2001-02-06,549399.999999982,4976386,2029.40808105469
2059_1,2001-02-07,549103.000000028,4975967,2015.57409667969
2055_1,2001-02-07,556404.000000022,4970442,2271.2646484375
2059_1,2001-02-08,549377.999999983,4975866,2015.931640625
2055_1,2001-02-08,556171.000000021,4970102,2306.11474609375
2073_1,2001-02-08,534920.00000002,4973258,2281.29418945313
2055_1,2001-02-09,556128.999999967,4969952,2336.65747070313
2073_1,2001-02-09,534966.999999976,4973251,2284.18090820313
2059_1,2001-02-09,549457.000000014,4975780,2026.67370605469
2073_1,2001-02-10,537005.000000037,4975433,2287.11889648438
2055_1,2001-02-10,556176.000000007,4969842,2368.6201171875
2059_1,2001-02-10,549394.000000023,4975752,2003.63208007813
2055_1,2001-02-11,556270.999999963,4969757,2415.90356445313
2059_1,2001-02-11,549374.000000028,4975882,2014.69897460938
2073_1,2001-02-11,537225.999999999,4975648,2278.85815429688
2073_1,2001-02-12,537259.000000023,4975742.99999999,2275.01171875
2059_1,2001-02-12,549439.999999964,4975545.99999999,1997.36303710938
2055_1,2001-02-12,556232.00000001,4969760,2404.20434570313
2059_1,2001-02-13,549490.999999965,4975542,2011.26989746094
2055_1,2001-02-13,556322.000000016,4969786,2421.6220703125
2073_1,2001-02-13,537501.000000018,4976158,2219.05029296875
2055_1,2001-02-14,556383.999999965,4969942,2386.91796875
2059_1,2001-02-14,549440.999999961,4975360,1950.30603027344
2073_1,2001-02-14,537470.999999997,4976140,2218.2421875
2055_1,2001-02-15,556645.999999975,4970041,2313.07592773438
2073_1,2001-02-15,537442.000000027,4977208,2157.35278320313
2059_1,2001-02-15,549497.00000002,4975434,1980.94165039063
2055_1,2001-02-16,556661.999999962,4970059,2307.81591796875
2059_1,2001-02-16,549362.999999977,4975695,2002.9091796875
2073_1,2001-02-16,536890.000000008,4976577,2150.60791015625
2059_1,2001-02-17,549550.999999987,4975554,2024.54516601563
2073_1,2001-02-17,535444.000000004,4976570,2096.42895507813
2055_1,2001-02-17,556648.999999996,4970132,2310.77416992188
2055_1,2001-02-18,556590.000000018,4970143,2331.13842773438
2059_1,2001-02-18,549548.999999994,4975473,1996.14514160156
2073_1,2001-02-18,536302.000000012,4977371,2158.08056640625
2073_1,2001-02-19,534719.000000021,4977501,2124.18310546875
2055_1,2001-02-19,554717.999999989,4970874.00000001,2240.55517578125
2059_1,2001-02-19,549469.999999968,4975331,1928.63818359375
2055_1,2001-02-20,553990.000000013,4971281.00000001,2242.75659179688
2073_1,2001-02-20,536236.999999975,4978120,2124.01806640625
2059_1,2001-02-20,549468.999999983,4975386,1957.3173828125
2059_1,2001-02-21,548963.999999965,4975329,1907.36169433594
2073_1,2001-02-21,535610.999999971,4977913,2126.5283203125
2055_1,2001-02-21,553890.999999991,4971109,2228.74096679688
2073_1,2001-02-22,535885.999999997,4978086,2110.67211914063
2059_1,2001-02-22,549843.000000004,4975855,2100.779296875
2055_1,2001-02-22,553525.000000024,4970812,2215.97119140625
2073_1,2001-02-23,534534.000000032,4977822,2130.6455078125
2055_1,2001-02-23,553412.000000021,4970969.00000001,2233.20068359375
2059_1,2001-02-23,549931.999999972,4974472,1849.62609863281
2073_1,2001-02-24,534880.000000004,4977261,2111.07177734375
2059_1,2001-02-24,547701.999999976,4975978.00000001,1936.03430175781
2055_1,2001-02-24,553737.000000023,4970771,2252.52978515625
2073_1,2001-02-25,534996.999999985,4976849,2087.34326171875
2055_1,2001-02-25,554702.000000034,4970734,2273.32861328125
2059_1,2001-02-25,546123.999999972,4977984.00000001,1812.36083984375
2059_1,2001-02-26,542643.999999974,4981095,1940.61218261719
2073_1,2001-02-26,534531.999999964,4977326,2084.16479492188
2055_1,2001-02-26,554703.99999997,4970815,2259.50561523438
2073_1,2001-02-27,533844.000000003,4978544.00000001,2097.89453125
2055_1,2001-02-27,555244.000000003,4971448,2189.77392578125
2059_1,2001-02-27,544091.999999982,4980178,1865.09680175781
2073_1,2001-02-28,532929.000000023,4978929.00000001,2037.50939941406
2059_1,2001-02-28,546258.999999966,4978378,1940.03564453125
2055_1,2001-02-28,554767.999999971,4972487.00000001,2074.89111328125
2059_1,2001-03-01,549010.000000034,4975394,1905.92761230469
2073_1,2001-03-01,533134.999999992,4979155,2070.1484375
2055_1,2001-03-01,553530.999999975,4970971,2190.70166015625
2073_1,2001-03-02,533264.000000031,4978849.00000001,2088.48388671875
2059_1,2001-03-02,549549.00000002,4975439,1976.43408203125
2055_1,2001-03-02,553435.000000009,4970889,2233.82177734375
2073_1,2001-03-03,533465.999999964,4978450,2065.21533203125
2055_1,2001-03-03,552017.00000003,4970846,2354.79663085938
2059_1,2001-03-03,550095.99999999,4974847,1911.58056640625
2055_1,2001-03-04,551595.00000002,4970883,2258.30322265625
2073_1,2001-03-04,532657.999999977,4978703,1993.18432617188
2059_1,2001-03-04,549892.000000007,4975110,1972.26831054688
2073_1,2001-03-05,534367.000000024,4978219,2118.2275390625
2055_1,2001-03-05,551863.999999995,4971134.99999999,2276.06713867188
2059_1,2001-03-05,549833.000000026,4975246,2023.70922851562
